No,Compound name,SMILES,Lecithin(%),pH,DMSO_Conc (w/v%),Donor_Plate_Volume (µm),Acceptor_Plate_Volume (µm),Temperature (??,Incubation_Time (hr),%T/MR,Pe,logPe,Source,SMILES_clean,PC1_acid_base_score,AcidBaseClass
49.0,,CC(=O)NC1=CC=C(C=C1)NC2=NN=C(C3=CC=CC=C32)C4=CC=C(C=C4)OCC#C,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,265.44,-3.576033631,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,C#CCOc1ccc(-c2nnc(Nc3ccc(NC(C)=O)cc3)c3ccccc23)cc1,-0.0006827933419996379,Neutral
50.0,,CCOC1=C(C=CC(=C1)CNC2=CC=C(C=C2)O)OCC3=CC=C(C=C3)Cl,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,186.69,-3.728878944,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCOc1cc(CNc2ccc(O)cc2)ccc1OCc1ccc(Cl)cc1,-0.01130120073133071,Neutral
51.0,,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CCCN4CCOCC4)C5=CC(=CC=C5)O,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,2.62,-5.581698709,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,Cc1ccc2oc3c(c(=O)c2c1)C(c1cccc(O)c1)N(CCCN1CCOCC1)C3=O,0.0031633854753666366,Neutral
52.0,,CC1=CC2=C(C=C1C)OC3=C(C2=O)C(N(C3=O)CCCN4CCOCC4)C5=CC(=C(C=C5)O)OC,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,25.29,-4.597051171,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1cc(C2c3c(oc4cc(C)c(C)cc4c3=O)C(=O)N2CCCN2CCOCC2)ccc1O,0.013181168668157339,Neutral
53.0,,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CCCN(C)C)C4=CC=C(C=C4)O,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,3.9,-5.408935393,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,Cc1ccc2oc3c(c(=O)c2c1)C(c1ccc(O)cc1)N(CCCN(C)C)C3=O,-0.008628402528091125,Neutral
54.0,,CCCCOC1=C(C=C(C=C1)C2C3=C(C(=O)N2CCCN(C)C)OC4=C(C3=O)C=C(C=C4)C)OCC,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,273.18,-3.563551099,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCCCOc1ccc(C2c3c(oc4ccc(C)cc4c3=O)C(=O)N2CCCN(C)C)cc1OCC,0.010393886816108028,Neutral
55.0,,C1CCCN(CC1)C2=C(N=C(O2)C3=CC=C(C=C3)F)S(=O)(=O)C4=CC=CC=C4,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,O=S(=O)(c1ccccc1)c1nc(-c2ccc(F)cc2)oc1N1CCCCCC1,-0.014845246997147375,Neutral
56.0,,CCC1=CC=C(C=C1)C2N=C(NC3=NC4=CC=CC=C4N23)N,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1.54,-5.812479279,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCc1ccc(C2N=C(N)Nc3nc4ccccc4n32)cc1,-0.02086936920121949,Neutral
57.0,,C1=CC(=C(C=C1C#N)F)C(=O)NC2=CC(=C(C=C2)Cl)C3=NC4=C(O3)C=CC(=C4)Cl,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,678.9,-3.168194191,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,N#Cc1ccc(C(=O)Nc2ccc(Cl)c(-c3nc4cc(Cl)ccc4o3)c2)c(F)c1,-0.011274464435841451,Neutral
58.0,,CC1=CC2=C(C=C1)N=C(O2)C3=C(C=CC(=C3)NC(=O)C4=CC5=C(C=C4)OCCO5)Cl,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,28.63,-4.543178652,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,Cc1ccc2nc(-c3cc(NC(=O)c4ccc5c(c4)OCCO5)ccc3Cl)oc2c1,-0.005372776867167302,Neutral
59.0,,CC1=CC=CC=C1NC(=O)CSC2=C(C(=CC(=N2)C3=CC=CC=C3)C4=CC=C(C=C4)OC)C#N,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,586.84,-3.231480292,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3ccccc3C)c2C#N)cc1,0.0027606375748837095,Neutral
