No,Compound name,SMILES,Lecithin(%),pH,DMSO_Conc (w/v%),Donor_Plate_Volume (µm),Acceptor_Plate_Volume (µm),Temperature (??,Incubation_Time (hr),%T/MR,Pe,logPe,Source
1495,,CNC1=C(N=C(S1)C2=CC=CC3=CC=CC=C32)C#N,20,7.4,0.5,200,200,25,0.5,,716.27,-3.144923238,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1496,,C1CC(C2=C(C1)C3=C(N2)C(=CC=C3)Cl)NC(=O)C4=CC5=C(C=C4)OCO5,20,7.4,0.5,200,200,25,0.5,,51,-4.292429824,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1497,,CC1=CC2=C(C=C1C)OC3=C(C2=O)C(N(C3=O)CCCN4CCOCC4)C5=CC(=C(C=C5)O)OC,20,7.4,0.5,200,200,25,0.5,,117.6,-3.929592678,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1498,,CC1=C(N=C2N1C=CC=N2)C3=CC(=CC=C3)NC(=O)C4=CC(=C(C=C4)F)F,20,7.4,0.5,200,200,25,0.5,,908.05,-3.041890237,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1499,,COC1=CC(=CC(=C1OC)OC)NC(=O)C2=CC(=NO2)C3=CC=CC=C3O,20,7.4,0.5,200,200,25,0.5,,679.97,-3.167510248,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1500,,CC(C)NC(=O)N1C[C@@H]2C[C@H](C1)C3=CC=C(C(=O)N3C2)C4=CC(=CC=C4)C(F)(F)F,20,7.4,0.5,200,200,25,0.5,,189.1,-3.723308471,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1501,,CC1=NOC(=C1)CNC(=O)C2=CC3=C(C=C2)N(C(=O)N3CC4CC4)C5CCCCC5,20,7.4,0.5,200,200,25,0.5,,963.74,-3.016040115,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1502,,CC1=CN2C(=NC(=C2NC3=CC=CC=C3C)C4=CC=CC=N4)C=C1,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1503,,C1CN(CCC1CCCCNC(=O)C=CC2=CN=CC=C2)C(=O)C3=CC=CC=C3,20,7.4,0.5,200,200,25,0.5,,130.35,-3.884888964,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1504,,CC1=CC=C(N1C2=CC=CC(=C2)C(=O)O)C,20,7.4,0.5,200,200,25,0.5,,34.6,-4.460923901,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1505,,CC(C)CNC1=C2C(=NOC2=NC=N1)C3=CC=C(C=C3)Cl,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1506,,CC1=CC=CC=C1NC(=O)C2=C(NC(=NC2C3=CC=CC=C3Br)NC4=NC5=CC=CC=C5O4)C,20,7.4,0.5,200,200,25,0.5,,390.11,-3.408812917,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1507,,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NCCC3=CC(=C(C=C3)Cl)Cl,20,7.4,0.5,200,200,25,0.5,,406.15,-3.391313542,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1508,,COC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=CC=CC(=N3)C(F)(F)F,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1509,,CCN1C2=C(C=CC(=C2)C(=O)NCC3=CC=C(C=C3)F)[S@@](=O)C4=CC=CC=C4C1=O,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1510,,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC(=CC=C4)S(=O)(=O)N)C,20,7.4,0.5,200,200,25,0.5,,11.8,-4.928117993,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1511,,CNC1=C(N=C(O1)C2=CC=CC(=C2)C3=CC=CC=C3)C#N,20,7.4,0.5,200,200,25,0.5,,918.34,-3.036996499,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1512,,CC1=CN=C(N=C1NCC2=CC=C(C=C2)C3=CN=CC=C3)C4=CC=CC=C4C5COC5,20,7.4,0.5,200,200,25,0.5,,2.87,-5.542118103,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1513,,C1=CC(=CC=C1NCC2=C(C=CC(=C2)F)O)S(=O)(=O)NC3=NC=CS3,20,7.4,0.5,200,200,25,0.5,,8.23,-5.084600165,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1514,,C1=CC(=CC=C1NCC2=C(C(=CC(=C2)Cl)Br)O)[S+](=O)(NC3=NC=CS3)[O-],20,7.4,0.5,200,200,25,0.5,,265.02,-3.57672135,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1515,,CC1=C(SC(=N1)NS(=O)(=O)C2=CC=C(C=C2)NCC3=C(C(=CC=C3)OC)O)C,20,7.4,0.5,200,200,25,0.5,,25.8,-4.588380294,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1516,,COC1=C(C=CC(=C1)/C=C\2/C3=CC=CC=C3NC2=O)O,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1517,,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CS4,20,7.4,0.5,200,200,25,0.5,,83.19,-4.079928876,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1518,,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CN=CN=C5)F,20,7.4,0.5,200,200,25,0.5,,7.26,-5.139063379,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1519,,COC1=C(C=CC(=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)Cl,20,7.4,0.5,200,200,25,0.5,,19.8,-4.70333481,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1520,,CC1=C(C=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)F,20,7.4,0.5,200,200,25,0.5,,15.5,-4.809668302,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1521,,CC(=O)NC1=NC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,20,7.4,0.5,200,200,25,0.5,,437.56,-3.358962386,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1522,,CC1=C(C(=NN1C)COC2=CC=C(C=C2)N3CCN(CC3)[S+](=O)(N(C)C)[O-])C4=CC=CC5=C4N(C(=C5CCCOC6=CC=CC7=CC=CC=C76)C(=O)O)CC8=CN=CC=C8,20,7.4,0.5,200,200,25,0.5,,243.78,-3.613001927,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1523,,C1CC(C2=C(C1)N(N=C2)C3=CC(=CC=C3)O)NC(=O)C4=CC=CC=N4,20,7.4,0.5,200,200,25,0.5,,836.3,-3.077637903,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1524,,CC1=CC=CC=C1C(=O)N2CCC(CC2)C(=O)N3CCC(CC3)N4CC5=CC=CC=C5C4=O,20,7.4,0.5,200,200,25,0.5,,50.84,-4.293794458,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1525,,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CCCC3=C2NC4=CC=CC=C34,20,7.4,0.5,200,200,25,0.5,,188.61,-3.724435285,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1526,,CC1=CC(=C(N1C2=CC=C(C=C2)OC)C)C3=NNC(=NC4CC4)SC3,20,7.4,0.5,200,200,25,0.5,,610.04,-3.214641688,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1527,,CN(C)C1=CC=CC(=C1)C2=CN=C(C3=C2CCO3)NC4=CC(=CN=C4)OC,20,7.4,0.5,200,200,25,0.5,,1,-6,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1528,,C1=CC=C2C(=C1)C(=O)N(C2=O)CC3=CC(=C(C(=C3)Cl)O)N,20,7.4,0.5,200,200,25,0.5,,351.56,-3.454000544,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1529,,CC1=CC2=C(C=C1)C(=C(N2CC3=CC=C(C=C3)OC)C(=O)O)CNCC4=CC(=CC=C4)OC,20,7.4,0.5,200,200,25,0.5,,361.34,-3.44208396,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1530,,CC1=C(C=CC(=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC(=O)CC3)F,20,7.4,0.5,200,200,25,0.5,,411.63,-3.385492981,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1531,,CC(C)OC1=CC=CC(=C1)C2=NC(=NC=C2)N3CCC(CC3)C(=O)N,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1532,,C1CC2=C(C(N=C(N2)NC3=NC4=CC=CC=C4O3)C5=C(C=CC=N5)Br)C(=O)C1,20,7.4,0.5,200,200,25,0.5,,370.68,-3.431000846,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1533,,CC[C@H]1CN([C@H]2CC3=C(C(=O)C[C@H]1[C@H]2C(=O)OC)NC4=CC=CC=C34)C,20,7.4,0.5,200,200,25,0.5,,489.71,-3.310061027,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1534,,COC1=C(C=C(C=C1)C2=C3C(=NN2)N=CC(=N3)C4=CC=C(C=C4)CO)F,20,7.4,0.5,200,200,25,0.5,,353.27,-3.451893242,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1535,,COC1=CC=CC=C1NC2=NC(=NC=C2)N3CCN(CC3)C(=O)C4=CC=C(C=C4)F,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1536,,COC1=CC=C(C=C1)C2=NC3=C(N2)C=CC=N3,20,7.4,0.5,200,200,25,0.5,,138.94,-3.857172705,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1537,,C1CCC(C(=O)C1)(C2=CC=CC=C2Cl)N,20,7.4,0.5,200,200,25,0.5,,62,-4.207608311,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1538,,C1=CC=C(C=C1)C2=CC(=NN2)NC3=NC(=NC4=CC=CC=C43)C5=CC=NC=C5,20,7.4,0.5,200,200,25,0.5,,39.4,-4.404503778,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
